kode;forbrydelse;paragraf;kapitel
70111;Højforræderi;Straffelov § 98;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70115;Krigsanstiftelse;Straffelov § 99;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70121;Farevoldende offentlige udtalelser;Straffelov § 100;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70125;Femte kolonnevirksomhed;Straffelov § 101;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70126;Deltagelse i væbnet konflikt;Straffelov § 101a, stk. 1;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70127;Hvervning til væbnet konflikt;Straffelov § 101a, stk. 2;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70131;Bistand til fjenden under krig;Straffelov § 102;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70141;Misligholdelse af kontrakt under krig;Straffelov § 103;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70151;Erhvervsmæssigt samarbejde med fjenden;Straffelov § 104;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70161;Utilbørligt forhold til besættelsesmagt;Straffelov § 105;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70163;Diplomatisk landsforræderi;Straffelov § 106;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70165;Spionage;Straffelov § 107;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70171;Hjælp til fremmed efterretningstjeneste;Straffelov § 108;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70173;Videregivelse af hemmelige forhandlinger;Straffelov § 109;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70175;Forfalskning af dokumentation af betydning for staten;Straffelov § 110;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70181;Offentlig beskrivelse af militære anlæg;Straffelov § 110a;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70185;Neutralitetskrænkelser mod staten;Straffelov § 110b;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70187;Overtrædelse af forbud til værn for staten;Straffelov § 110c;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70191;Forbrydelse mod fremmed statsoverhoved;Straffelov § 110d;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70194;Offentlig forhånelse af fremmed nation;Straffelov § 110e;12. kapitel – landsforræderi og andre forbrydelser mod statens selvstændighed og sikkerhed
70211;Oprør;Straffelov § 111;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70221;Forbrydelse mod den danske regent;Straffelov § 112;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70231;Tvang overfor folketinget;Straffelov § 113;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70241;Ulovlig korpsvirksomhed;Straffelov § 114;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70242;Terrorisme;Straffelov § 114;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70243;Terrorisme, økonomisk støtte til;Straffelov § 114a;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70244;Terrorisme, tilskyndelse til;Straffelov § 114b;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70245;Samfundsorden, forstyrrelse af/økonomisk støtte;Straffelov § 114c;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
70246;Ulovligt militær, medlem af;Straffelov § 114d;13. kapitel – forbrydelser mod statsforfatningen og de øverste statsmyndigheder, terrorisme m.v.
